LOCATION_ID,NAME,NAME_CODE,LOCATIONTYPE_ID,SOURCE_LOCATIONTYPE_NAME
1776,RAHWAY,,1006,CITY
1777,RAMSEY,,1006,CITY
1778,ROSELLE,,1006,CITY
1779,RUTHERFORD,,1006,CITY
1780,RIVERDALE,,1006,CITY
1781,RIVER EDGE,,1006,CITY
1782,DAYTON,,1006,CITY
1783,SECAUCUS,,1006,CITY
1784,SUMMIT,,1006,CITY
1785,SOUTH ORANGE,,1006,CITY
1786,SOUTH RIVER,,1006,CITY
1787,SOMERVILLE,,1006,CITY
1788,SPRING LAKE -MONMOUT,,1006,CITY
1789,SPRING MILLS,,1006,CITY
1790,SPOTSWOOD,,1006,CITY
1791,DUMONT,,1006,CITY
1792,SUCCASUNNA,,1006,CITY
1793,SUSSEX,,1006,CITY
1794,SAYREVILLE,,1006,CITY
1795,TEANECK,,1006,CITY
1796,TOMS RIVER,,1006,CITY
1797,UPPER GREENWOOD LAKE,,1006,CITY
1798,UNION CITY,,1006,CITY
1799,UNIONVILLE,,1006,CITY
1800,UNION -UNION,,1006,CITY
1801,VAN HISEVILLE,,1006,CITY
1802,WASHINGTON -WARREN,,1006,CITY
1803,EAST ORANGE,,1006,CITY
1804,WAYNE,,1006,CITY
1805,WOODBRIDGE,,1006,CITY
1806,WOODPORT,,1006,CITY
1807,WHITEHOUSE,,1006,CITY
1808,WHIPPANY,,1006,CITY
1809,WHITING,,1006,CITY
1810,WEEHAWKEN,,1006,CITY
1811,WEST LONG BRANCH,,1006,CITY
1812,WEST MILFORD,,1006,CITY
1813,SOUTH PLAINFIELD,,1006,CITY
1814,GIRARD,,1006,CITY
1815,ERIE,,1006,CITY
1816,EDINBORO,,1006,CITY
1817,GRAND VALLEY,,1006,CITY
1818,TITUSVILLE,,1006,CITY
1819,MEADVILLE,,1006,CITY
1820,ALTOONA,,1006,CITY
1821,LINCOLNVILLE,,1006,CITY
1822,CORRY,,1006,CITY
1823,GUYS MILLS,,1006,CITY
1824,LINESVILLE,,1006,CITY
1825,DINGMANS FERRY,,1006,CITY
1826,LOG TAVERN,,1006,CITY
1827,OIL CITY,,1006,CITY
1828,MCKEAN,,1006,CITY
1829,PLEASANTVILLE (VENANGO),,1006,CITY
1830,WEST SPRINGFIELD,,1006,CITY
